position,company,communication skills,problem solving,attention to detail,interpersonal skills,decision making,teamwork,has_2 years,has_3 years,has_4 years,has_5 years,has_10 years,has_1 year,has_bachelor,has_master,has_phd ,has_msc ,has_ba ,has_bsc ,has_b.s ,has_ph.d ,has_b.s.,has_b.a ,has_python,has_sql,has_power bi,has_excel,has_tableau,has_java,has_c++,City,State,machine learning engineer,data scientist,research analyst,data analyst,data engineer,research scientist,has_ r 
"scientist, asst bioinformatics",Emory University,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,Atlanta, GA,False,False,False,False,False,False,True
research analyst,Evident,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,True,False,False,False,False
"scientist, asst (ar) som",Emory Healthcare,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"analyst, research",Turner,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,Atlanta, GA,False,False,False,False,False,False,True
"director, nlp data scientist",KPMG,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,Atlanta, GA,False,True,False,False,False,False,True
information technology specialist,Centers for Disease Control and Prevention,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
quantitative analyst,GreenSky,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
data analyst supply chain,The Home Depot,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,Atlanta, GA,False,False,False,True,False,False,False
"scientist, asst (ar) som",Emory University,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
health communications specialist,Eagle Medical Services,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
